"feature_id","Pair1","Pair2","Pair3","Pair5","Pair6","Pair7"
"ATOX1_1",1.88344787227468,1.41689940423826,-0.170557941796485,-0.704251086455837,1.7739777871192,-2.4088255501556
"ATP5F1E_1",0.599390814626473,0.408501835864342,0.219691266008486,-0.192004076863668,0.407224367231512,-0.554088209804359
"ATP5IF1_1",1.0149030052231,-0.378300429982495,-0.735805583780888,-0.115572152453325,-0.177555321564006,-0.119317621555489
"ATP5IF1_3",1.28791117966944,0.0195744620710556,-0.798558391326473,0.0136789280250618,-0.439414715987409,0.296673176334501
"ATP5IF1_4",-1.16077642190731,0.18377973191938,-0.16885454136666,-1.46936285671671,-0.33895518933368,0.444922330140546
"ATP5IF1_5",0.663149628858656,-0.497204175807429,-0.223557003600817,0.0781266280686701,0.0664845182484743,0.826529763982304
"ATP5ME_3",1.11119461577164,0.0588218903545119,1.08788364400962,-0.421669890915883,1.98880331444517,-0.834901973912679
"ATP5PF_1",1.71371545890586,0.975748430504613,0.13540827354263,-0.818433985122667,1.59535700995034,-0.275506660842137
"B2M_3",2.1539404329598,1.6998318443001,1.07910749480981,2.05450558112764,2.47503554140833,0.935707167193634
"CALM1_1",1.42983051291188,0.568026443179274,-0.150717281577663,-0.222950893710291,0.96130838098823,-0.664854376131224
"CALM1_3",1.64447941542151,0.6766089463237,0.0100124218626085,0.281185091978315,-0.160078941251212,-1.69473113242821
"CHGA_1",-0.574693070373774,-0.625067070569862,0.322579505813454,-0.186709189650763,0.132373012801699,0.770662887438444
"CHGA_2",-0.581727306101124,-0.399470380462521,-0.0281434688311428,0.517266321622934,-0.24597453681047,1.0411037281921
"CHGA_5",0.16064969232483,-0.427234234023974,-0.0407629855635321,0.409684232691191,0.302892054391682,0.765897246991852
"CHGA_6",-0.576500928344631,-0.522728813789406,0.486370718986912,-0.172761779988107,-0.847237983702557,0.210296719163122
"CHGA_28",0.596032894006141,0.282744496827956,-0.631457403390808,0.326401818506554,0.969404074613328,-0.139405446403977
"CHGA_31",1.53301136716828,0.198174671392525,-0.836735329717861,0.367047955324242,2.20183901994577,-0.144555839242706
"CHGA_32",-1.41959098754599,0.210745241382021,0.803747022374282,0.82139944952694,1.76839684499254,-0.117777685397144
"CHGA_37",0.737692824907542,0.353943467386294,-0.948612989544927,0.231197264499286,1.05411287267246,-0.580448562132904
"CHGA_45",1.2614800828127,0.61939923082026,0.263819169280303,-0.153798785977834,0.577316292015164,-0.571341765951168
"CHGA_48",-0.475138917364051,-0.608339806844697,-0.21257156059513,-0.303915552955939,-0.440158119083202,0.0205035037761085
"CHGA_49",0.344730211085613,-0.58369959352153,-0.415592842022562,0.280817748852968,-0.0617524206294906,0.0531298879118012
"CHGA_54",0.878553494584393,-0.137339895365137,-0.254767434176902,0.156127141360916,-0.536186050854516,-0.350067236535885
"CHGB_7",0.687563435847975,-1.34857067936455,-0.779773028393496,6.04776326440515e-06,-1.26524767528219,-0.897118987927854
"CHGB_8",-0.274769814425794,-0.891098916320239,-0.754239536315833,-0.042010611293481,-0.640301686214793,-0.0083478709726208
"CHGB_14",-0.472954433834568,-0.112787445621812,0.659433896259895,0.416729035960635,0.9122948514461,-0.695572855777623
"CHGB_15",-0.623922413153776,-0.408682431411162,0.0317474834654305,-0.211983729370491,0.431445479845634,-0.665315757038577
"CHGB_16",-0.369985332173654,0.024721974492973,0.541553901675933,0.337344084852141,1.40162242180964,-0.94782859992764
"CHGB_18",0.41675605471408,-0.809187656336459,-0.294835066947485,-0.629624471557293,0.819858673854887,-0.604949373883031
"CHGB_21",-0.816444653780687,-0.763978890031257,-1.12213885978881,-0.0563343770853955,-0.528790868172907,-0.274605019983522
"CHGB_50",-0.869628164185459,-0.615022587175712,-0.242088859222562,0.0178724897339855,-1.13924197591904,-0.360623109353227
"COTL1_1",0.373660360193307,0.0149856918958378,0.735836136563066,0.12688904001006,0.488776582152019,-1.05550550155585
"COX17_1",-0.541727426608963,-0.790801659423977,-0.422575630604651,-0.131380409957089,-0.494975254980263,0.632076983683287
"COX5A_1",1.81412910253039,1.26166239685284,-1.79466373677077,0.382941645145245,1.00622285421003,-2.75354905167314
"COX5B_1",0.78328624998173,0.0259284995431273,0.466173684973803,0.649082169983412,0.808182268057871,-0.147431594019189
"COX7A2_2",2.07293278020297,1.73664999935986,-1.00041882911254,0.373975667573088,1.0253251258979,-1.52272338201341
"DAP_4",-0.709929336687805,-0.63515101145218,0.218970564501433,0.419521395019007,-0.795190849382559,-0.593036037436875
